problem_id,class,loop0_raw,loop1_raw,loop2_raw,loop1_canonical_unique,loop2_canonical_unique,loop1_new_unique,loop2_new_unique,first_solved_loop,loop2_solved,loop2_new_canonical_vs_loop1
cf-00477,impossible,0,0,2,0,2,0,2,2,1,2
cf-00492,impossible,0,0,0,0,0,0,0,,0,0
cf-00495,impossible,0,0,0,0,0,0,0,,0,0
cf-00523,impossible,0,0,0,0,0,0,0,,0,0
cf-00532,impossible,0,0,0,0,0,0,0,,0,0
cf-00539,impossible,0,0,0,0,0,0,0,,0,0
cf-00541,impossible,0,0,2,0,2,0,2,2,1,2
cf-00543,impossible,0,0,0,0,0,0,0,,0,0
cf-00547,impossible,0,0,3,0,3,0,3,2,1,3
cf-00551,impossible,0,0,0,0,0,0,0,,0,0
cf-00566,impossible,0,0,0,0,0,0,0,,0,0
cf-00567,impossible,0,0,0,0,0,0,0,,0,0
cf-00583,impossible,0,0,0,0,0,0,0,,0,0
cf-00595,impossible,0,0,2,0,2,0,2,2,1,2
cf-00597,impossible,0,0,0,0,0,0,0,,0,0
cf-00599,impossible,0,0,0,0,0,0,0,,0,0
cf-00607,impossible,0,0,0,0,0,0,0,,0,0
cf-00611,impossible,0,0,1,0,1,0,1,2,1,1
cf-00618,impossible,0,0,0,0,0,0,0,,0,0
cf-00625,impossible,0,0,0,0,0,0,0,,0,0
cf-00631,impossible,0,0,0,0,0,0,0,,0,0
cf-00636,impossible,0,0,0,0,0,0,0,,0,0
cf-00640,impossible,0,3,12,3,6,3,3,1,1,3
cf-00654,impossible,0,0,0,0,0,0,0,,0,0
cf-00691,impossible,0,0,0,0,0,0,0,,0,0
cf-00697,impossible,0,0,0,0,0,0,0,,0,0
cf-00705,impossible,0,0,0,0,0,0,0,,0,0
cf-00713,impossible,0,1,0,1,0,1,0,1,0,0
cf-00722,impossible,0,0,0,0,0,0,0,,0,0
cf-00724,impossible,0,0,0,0,0,0,0,,0,0
cf-00733,impossible,0,0,0,0,0,0,0,,0,0
cf-00738,impossible,0,0,0,0,0,0,0,,0,0
cf-00739,impossible,0,1,2,1,2,1,2,1,1,2
cf-00741,impossible,0,0,0,0,0,0,0,,0,0
cf-00747,impossible,0,0,0,0,0,0,0,,0,0
cf-00751,impossible,0,0,0,0,0,0,0,,0,0
cf-00756,impossible,0,0,0,0,0,0,0,,0,0
cf-00759,impossible,0,0,16,0,16,0,16,2,1,16
cf-00764,impossible,0,1,5,1,5,1,4,1,1,4
cf-00770,impossible,0,1,1,1,1,1,1,1,1,1
cf-00773,impossible,0,0,0,0,0,0,0,,0,0
cf-00782,impossible,0,5,10,5,8,5,4,1,1,4
cf-00786,impossible,0,2,0,2,0,2,0,1,0,0
cf-00819,impossible,0,0,0,0,0,0,0,,0,0
cf-00826,impossible,0,2,5,2,2,2,0,1,1,0
cf-00831,impossible,0,0,0,0,0,0,0,,0,0
cf-00834,impossible,0,0,0,0,0,0,0,,0,0
cf-00835,impossible,0,0,0,0,0,0,0,,0,0
cf-00842,impossible,0,2,0,2,0,2,0,1,0,0
cf-00844,impossible,0,0,0,0,0,0,0,,0,0
cf-00846,impossible,0,0,0,0,0,0,0,,0,0
cf-00850,impossible,0,0,0,0,0,0,0,,0,0
cf-00859,impossible,0,0,0,0,0,0,0,,0,0
cf-00861,impossible,0,0,0,0,0,0,0,,0,0
cf-00880,impossible,0,0,1,0,1,0,1,2,1,1
